"Positions for account Primary ...854 as of 10:30 AM ET, 2024/11/13",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Symbol,Description,Qty (Quantity),Price,Price Chng % (Price Change %),Price Chng $ (Price Change $),Mkt Val (Market Value),Day Chng % (Day Change %),Day Chng $ (Day Change $),Cost Basis,Gain % (Gain/Loss %),Gain $ (Gain/Loss $),Ratings,Reinvest?,Reinvest Capital Gains?,% of Acct (% of Account),Security Type
UNP,UNION PAC CORP,225,$239.60 ,0.29%,$0.69 ,"$53,910.00 ",0.29%,$155.25 ,"$23,682.55 ",127.64%,"$30,227.45 ",--,No,--,0.61%,Equity
UPS,UNITED PARCEL SVC INC CLASS B,350,$130.56 ,0.32%,$0.42 ,"$45,694.25 ",0.32%,$145.25 ,"$33,967.82 ",34.52%,"$11,726.43 ",--,No,--,0.52%,Equity
V,VISA INC CLASS A,260,$308.35 ,-0.48%,($1.50),"$80,171.88 ",-0.48%,($389.12),"$36,075.20 ",122.24%,"$44,096.68 ",--,No,--,0.91%,Equity
WMT,WALMART INC,900,$85.08 ,0.11%,$0.09 ,"$76,571.91 ",0.11%,$80.91 ,"$28,628.92 ",167.46%,"$47,942.99 ",--,No,--,0.87%,Equity
IJR,ISHARES CORE S&P SMALL CAP ETF,"2,500",$125.05 ,0.58%,$0.73 ,"$312,612.50 ",0.58%,"$1,812.50 ","$153,441.23 ",103.73%,"$159,171.27 ",--,No,--,3.54%,ETFs & Closed End Funds
IWM,ISHARES RUSSELL 2000 ETF,"1,200",$238.93 ,0.62%,$1.47 ,"$286,710.00 ",0.62%,"$1,758.00 ","$146,110.16 ",96.23%,"$140,599.84 ",--,No,--,3.24%,ETFs & Closed End Funds
MDY,SPDR S&P MIDCAP 400 ETF IV,600,$602.92 ,0.28%,$1.67 ,"$361,752.00 ",0.28%,"$1,002.00 ","$164,251.01 ",120.24%,"$197,500.99 ",--,No,--,4.09%,ETFs & Closed End Funds
RSP,INVSC S P 500 EQUAL WEIGHT ETF IV,"4,000",$184.08 ,0.26%,$0.47 ,"$736,320.00 ",0.26%,"$1,880.00 ","$322,584.24 ",128.26%,"$413,735.76 ",--,No,--,8.33%,ETFs & Closed End Funds
SCHB,SCHWAB US BROAD MARKET ETF,"24,000",$23.21 ,-0.02%,($0.00),"$556,922.40 ",-0.02%,($117.60),"$237,025.75 ",134.96%,"$319,896.65 ",--,No,--,6.30%,ETFs & Closed End Funds
SPY,SPDR S&P 500 ETF IV,"1,500",$596.29 ,-0.10%,($0.61),"$894,436.80 ",-0.10%,($913.20),"$372,761.59 ",139.95%,"$521,675.21 ",--,No,--,10.12%,ETFs & Closed End Funds
VTI,VANGUARD TOTAL STOCK MARKET ETF,"2,200",$296.36 ,N/A,($0.01),"$651,992.00 ",N/A,($22.00),"$280,521.25 ",132.42%,"$371,470.75 ",--,No,--,7.38%,ETFs & Closed End Funds
VUG,VANGUARD GROWTH ETF,953.3502,$408.10 ,-0.17%,($0.70),"$389,061.07 ",-0.17%,($668.49),"$130,749.13 ",197.56%,"$258,311.94 ",--,Yes,--,4.40%,ETFs & Closed End Funds
VV,VANGUARD LARGE CAP ETF,"2,500",$274.42 ,-0.09%,($0.25),"$686,050.00 ",-0.09%,($625.00),"$278,107.04 ",146.69%,"$407,942.96 ",--,No,--,7.76%,ETFs & Closed End Funds
XLF,SELECT STR FINANCIAL SELECT SPDR ETF,"1,250",$49.85 ,0.21%,$0.11 ,"$62,306.25 ",0.21%,$131.25 ,"$29,199.48 ",113.38%,"$33,106.77 ",--,No,--,0.70%,ETFs & Closed End Funds
XLI,SELECT SECTOR INDUSTRIALSPDR ETF,"2,000",$142.63 ,0.47%,$0.67 ,"$285,260.00 ",0.47%,"$1,340.00 ","$124,548.16 ",129.04%,"$160,711.84 ",--,No,--,3.23%,ETFs & Closed End Funds
AUNYX,AB MUNICIPAL BOND INFLATION STRATEGY ADV,"35,077.38",$10.81 ,N/A,N/A,"$379,186.50 ",N/A,N/A,"$358,447.77 ",5.79%,"$20,738.73 ",5,Yes,Yes,4.29%,Mutual Fund
052430RM9,AUSTIN TEX INDPT SC 5%25GO UTX DUE 08/01/25,"50,000",$101.33 ,N/A,N/A,"$50,666.50 ",N/A,N/A,"$51,192.03 ",-1.03%,($525.53),NR / Aaa,N/A,--,0.57%,Fixed Income
052477XJ0,AUSTIN TEX WTR & WA 5%24WRSR UTIL DUE 11/15/24,"15,000",$100.01 ,N/A,N/A,"$15,001.05 ",N/A,N/A,"$15,194.17 ",-1.27%,($193.12),NR / NR,N/A,--,0.17%,Fixed Income
052477XN1,AUSTIN TEX WTR & WA 5%24WRSR UTIL DUE 11/15/24,"10,000",$100.01 ,N/A,N/A,"$10,000.80 ",N/A,N/A,"$10,129.45 ",-1.27%,($128.65),AA / Aa2,N/A,--,0.11%,Fixed Income
235308XB4,DALLAS TEX INDPT SC 5%26GO UTX DUE 02/15/26,"25,000",$102.42 ,N/A,N/A,"$25,606.00 ",N/A,N/A,"$25,831.58 ",-0.87%,($225.58),AA+ / Aa1,N/A,--,0.29%,Fixed Income
414005UJ5,HARRIS CNTY TEX 5%26GO UTX DUE 10/01/26,"25,000",$101.57 ,N/A,N/A,"$25,391.25 ",N/A,N/A,"$25,756.94 ",-1.42%,($365.69),AAA / Aaa,N/A,--,0.29%,Fixed Income
498531FH0,KLEIN TEX INDPT SCH 5%26GO UTX DUE 08/01/26,"25,000",$101.24 ,N/A,N/A,"$25,310.50 ",N/A,N/A,"$25,758.55 ",-1.74%,($448.05),AAA / Aaa,N/A,--,0.29%,Fixed Income
912797HP5,US TREASURY BILL24U S T BILL DUE 11/29/24,"200,000",$99.80 ,N/A,N/A,"$199,603.56 ",N/A,N/A,"$194,877.02 ",2.43%,"$4,726.54 ",NR / NR,No,--,2.26%,Fixed Income
91282CEW7,US TREASUR NT 3.25%06/27UST NOTE DUE 06/30/27,"50,000",$97.39 ,N/A,N/A,"$48,695.31 ",N/A,N/A,"$48,769.53 ",-0.15%,($74.22),NR / Aaa,No,--,0.55%,Fixed Income
91282CFE6,US TREASU NT 3.125%08/25UST NOTE DUE 08/15/25,"150,000",$98.98 ,N/A,N/A,"$148,476.56 ",N/A,N/A,"$148,555.80 ",-0.05%,($79.24),NR / Aaa,No,--,1.68%,Fixed Income
91282CFK2,US TREASUR NT 3.5%09/25UST NOTE DUE 09/15/25,"200,000",$99.23 ,N/A,N/A,"$198,468.75 ",N/A,N/A,"$196,216.94 ",1.15%,"$2,251.81 ",NR / Aaa,No,--,2.25%,Fixed Income
91282CFP1,US TREASUR NT 4.25%10/25UST NOTE DUE 10/15/25,"50,000",$99.84 ,N/A,N/A,"$49,921.88 ",N/A,N/A,"$50,000.40 ",-0.16%,($78.52),NR / Aaa,No,--,0.56%,Fixed Income
91282CFX4,US TREASUR NT 4.5%11/24UST NOTE DUE 11/30/24,"50,000",$99.97 ,N/A,N/A,"$49,984.38 ",N/A,N/A,"$50,027.05 ",-0.09%,($42.67),NR / Aaa,No,--,0.57%,Fixed Income
91282CJB8,US TREASUR NT 5%09/25UST NOTE DUE 09/30/25,"100,000",$100.45 ,N/A,N/A,"$100,453.13 ",N/A,N/A,"$100,354.74 ",0.10%,$98.39 ,NR / Aaa,No,--,1.14%,Fixed Income
SGUXX,SCHWAB GOVERNMENT MONEY ULTRA,"520,879.81",$1.00 ,N/A,N/A,"$520,879.81 ",N/A,N/A,"$520,879.81 ",0%,$0.00 ,--,Yes,Yes,5.89%,Cash and Money Market
Cash & Cash Investments,--,--,--,--,--,"$12,958.91 ",0%,$0.00 ,--,--,--,--,--,--,0.15%,Cash and Money Market
Account Total,--,--,--,--,--,"$8,840,368.16 ",0.03%,"$2,895.63 ","$4,832,534.57 ",82.67%,"$3,994,874.68 ",--,--,--,--,--
